"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","species"
"3239306",47.8689441009943,26.7954406552906,4.00946764527998,6.68304199607013,2.34032471035382e-11,4.31978644924018e-09,"Pleomorphomonas sp. PLEO"
"3430278",22.8998146690632,-32.6892587412603,4.89349766303438,-6.68014189282155,2.38711009442955e-11,4.33620443184949e-09,"Kremarvirus kremar"
"170861",133.737783953983,-21.9774219863341,3.29910982214749,-6.66162182258859,2.70822175288539e-11,4.76813688308005e-09,"Methanosarcina lacustris"
"390989",74.6030303540403,27.2498946562186,4.09006456310127,6.66246075967967,2.69280230898479e-11,4.76813688308005e-09,"Actinocatenispora sera"
"715179",85.8232794441177,-21.4334666338282,3.22413798907554,-6.64781306087144,2.97479784621099e-11,4.99087404997592e-09,"Paenibacillus sp. sptzw28"
"2173",86.8935084390283,-22.6855422060771,3.41245476445966,-6.64786605886899,2.97372720458384e-11,4.99087404997592e-09,"Methanobrevibacter smithii"
"2799680",44.387474510745,-30.0921808445496,4.52589304829144,-6.64889349427063,2.95304578816154e-11,4.99087404997592e-09,"Staphylococcus sp. 11-B-312"
"2903896",39.6438547008611,26.5831800461076,3.99980376425303,6.64612106315971,3.00917781761918e-11,4.99087404997592e-09,"Streptomyces sp. NBC_01537"
"2823904",323.325640115231,33.2463148566231,5.01024985290088,6.63566006341456,3.23053585865573e-11,5.13475727311891e-09,"Paenibacillus sp. S02"
"33918",24.8455025767889,33.2602966932753,5.01127078130664,6.63709828200562,3.19918350389925e-11,5.13475727311891e-09,"Microbacterium maritypicum"
"33889",24.8455025767889,33.2602966932753,5.01127078130664,6.63709828200562,3.19918350389925e-11,5.13475727311891e-09,"Brevibacterium casei"
"2939494",103.537340579122,-22.420434556534,3.38351345015678,-6.62637666047852,3.44026667557166e-11,5.39320710071809e-09,"Rummeliibacillus sp. G93"
"520",183.211873963191,33.1186831568145,5.01031484261931,6.61010020270514,3.84059974096261e-11,5.93943559940218e-09,"Bordetella pertussis"
"1464011",53.1048910038236,33.091159979442,5.01068223701221,6.60412263523892,3.9987841073068e-11,6.10161137653587e-09,"[Kitasatospora] papulosa"
"221027",123.073891534724,-22.6503195753452,3.43248117538722,-6.59881829440478,4.1444788965171e-11,6.2407126962818e-09,"Treponema putidum"
"3019892",33.2758441790953,-32.2293164064148,4.88681187794054,-6.59516208346397,4.2479151925951e-11,6.31339499533225e-09,"Pantoea sp. S18"
"1458492",6.23413241129708,33.043008206493,5.01456467192806,6.58940713068683,4.4158634477934e-11,6.39685332867692e-09,"Myroides sp. ZB35"
"347209",6.23413241129708,33.043008206493,5.01456467192806,6.58940713068683,4.4158634477934e-11,6.39685332867692e-09,"Arthrobacter sp. J3.40"
"2730360",24.4661819267616,33.0028108141049,5.01128786206339,6.58569448064315,4.52764003584508e-11,6.47678907127638e-09,"Halomonas sp. PGE1"
"76832",174.04929340853,-22.8707525287205,3.47483531956596,-6.58182343201727,4.64713276736743e-11,6.56565276416702e-09,"Myroides odoratimimus"
"1660078",751.346634479338,-21.6696332508253,3.29429402392329,-6.57792932065554,4.77044878807178e-11,6.65768486959676e-09,"Campylobacter sp. RM5004"
"2123",85.8325607635771,-22.4315690930024,3.41477025287179,-6.56898339621462,5.06599323246315e-11,6.98496705449498e-09,"Mycoplasma putrefaciens"
"1774216",53.2156413127243,26.7522195692867,4.07953943636752,6.55765681066861,5.46598215654718e-11,7.44674997613404e-09,"Nocardioides rotundus"
"3025671",4.8726552180253,32.7494307398882,5.01579330080328,6.52926242687142,6.60943579485006e-11,8.69406703865104e-09,"Mucilaginibacter sp. KACC 22773"
"2067958",4.8726552180253,32.7494307398882,5.01579330080328,6.52926242687142,6.60943579485006e-11,8.69406703865104e-09,"Kosakonia sp. MUSA4"
"169669",4.8726552180253,32.7494307398882,5.01579330080328,6.52926242687142,6.60943579485006e-11,8.69406703865104e-09,"Pseudomonas extremorientalis"
"92490",5.30259538432165,32.716508564766,5.01533665458121,6.52329261583695,6.87804903153152e-11,8.9445901269144e-09,"Winslowiella toletana"
"2024580",59.1612713937721,26.7111201192755,4.10146469492493,6.51258077445536,7.38704668825981e-11,9.36614051280792e-09,"Plantactinospora sp. KBS50"
"2921562",5.4459087730871,32.6557444098688,5.01520176356604,6.5113520750258,7.44773494115275e-11,9.36614051280792e-09,"Bacillus sp. FSL K6-0972"
