"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","species"
"1628086",111.111238025067,24.8362121482284,2.70490955151722,9.18190115979941,4.23546503534302e-20,5.83983877885127e-18,"Pseudomonas kribbensis"
"2903896",39.6438547008611,-23.0799244444168,2.52142076664692,-9.15353944479062,5.50980629559947e-20,7.50645514843337e-18,"Streptomyces sp. NBC_01537"
"3398209",59.002300067004,25.1763316110861,2.75471393389492,9.13936336594089,6.28210533266507e-20,8.35958295663012e-18,"Neptuniibacter sp. QD37_11"
"1525218",62.152645058261,25.2650917436374,2.76411986725856,9.14037485960954,6.22362219634165e-20,8.35958295663012e-18,"Sulfitobacter sp. CB2047"
"167964",68.260668868531,24.6058376165348,2.69563204481014,9.12804018037553,6.97504934305305e-20,9.17499594044817e-18,"Anaerolinea thermophila"
"1504981",59.6159547814594,25.2220981634685,2.76373163335504,9.1261024981829,7.1009760793039e-20,9.23449661949476e-18,"Halomonas sp. KO116"
"1720343",84.4138281071214,24.4671538261979,2.68378373189857,9.11666373686871,7.74725125803623e-20,9.96174644909737e-18,"Pseudoalteromonas sp. 1_2015MBL_MicDiv"
"1703338",109.652256955889,-25.7779009931714,2.83264111846229,-9.10030600952549,9.00776696950279e-20,1.14538761332211e-17,"Croceicoccus sp. Ery15"
"3395315",42.2564934048115,23.9898575266515,2.64515507570837,9.06935768982352,1.19720662762838e-19,1.50558600511859e-17,"Luminiphilus sp. nBUS_16"
"548579",441.087921675645,24.4865941177419,2.70162091755102,9.06366765176611,1.26136315812171e-19,1.56902608495053e-17,"Isoptericola jiangsuensis"
"2749999",40.0913680681862,23.875528585716,2.63483656669935,9.06148369408156,1.28688006650984e-19,1.5835543528106e-17,"Pseudomonas sp. RtIB026"
"1496080",40.5525991181861,23.8101788318222,2.63609908176803,9.03235352437994,1.68018624534908e-19,2.04553738210371e-17,"Brevibacterium pigmentatum"
"2954078",49.1887814585829,24.8740749900253,2.75558702909992,9.02677895030961,1.76799071316011e-19,2.12977744435835e-17,"Pseudomonas sp. FP1740"
"2799680",44.387474510745,24.8648435271971,2.75781296702291,9.0161457011492,1.9482323991221e-19,2.32245537245348e-17,"Staphylococcus sp. 11-B-312"
"2490635",184.725300929712,-26.9906357034371,2.99401353700524,-9.01486762495885,1.97108366815693e-19,2.32547231942144e-17,"Pseudoalteromonas sp. Xi13"
"3230980",61.2219839339748,23.972228240702,2.659834868133,9.01267538368979,2.01089802406856e-19,2.34823642728985e-17,"Candidatus Pelagibacter sp. Uisw_094"
"2306583",794.732616407043,13.5372203481112,1.50623152036579,8.98747647029967,2.52971887031982e-19,2.92425280322626e-17,"Halomonas sp. JS92-SW72"
"2830998",39.1256395738623,23.6741058624066,2.63685236911036,8.97816887275869,2.75310291979544e-19,3.15043603497166e-17,"Arthrobacter sp. NicSoilB8"
"3237371",37.89331529493,23.6178861272793,2.63090923781406,8.97708130247116,2.78044424617387e-19,3.15043603497166e-17,"Burkholderia sp. 22PA0106"
"2575440",50.1766385941573,23.8461848949154,2.65668985215978,8.97590092254442,2.81042243403825e-19,3.15318375834644e-17,"Nocardioides jishulii"
"80860",77.9948709994638,-25.3582651420877,2.82556847645704,-8.97457108308496,2.84457913714545e-19,3.16052074228083e-17,"Streptomyces cyanogenus"
"2867015",118.090862250727,23.974823794329,2.67475761424306,8.9633631349111,3.14923379604844e-19,3.43236491066461e-17,"Leisingera sp. M658"
"56459",52.1155392698723,23.797437956343,2.65485613420345,8.96373918335997,3.13850786899073e-19,3.43236491066461e-17,"Xanthomonas vasicola"
"1725",50.8577024018556,23.847872496086,2.66204284166798,8.95848561217872,3.29167918031569e-19,3.55377137165403e-17,"Corynebacterium xerosis"
"1529058",67.9247667825259,-24.0149801028129,2.68239757820838,-8.95280412490266,3.46564476237907e-19,3.6722998759876e-17,"Vibrio phage ICP2_2013_A_Haiti"
"664643",43.9178526208127,24.7164860185233,2.76065505518594,8.95312363349887,3.4556248581318e-19,3.6722998759876e-17,"Vibrio plantisponsor"
"286727",100.506425810931,23.7139204594766,2.65092118459275,8.9455396098921,3.70136891909606e-19,3.88117981504442e-17,"Azospirillum oryzae"
"3379131",36.6763950789968,24.4743178918373,2.73627887199931,8.94437995420938,3.74043678269211e-19,3.88117981504442e-17,"Acinetobacter sp. SEK541"
"108486",35.85463971394,23.6129594174964,2.6401864336196,8.94367121837069,3.76451380172955e-19,3.88117981504442e-17,"Corynebacterium falsenii"
"948519",40.0662510970392,23.6023148923537,2.64160165364254,8.934850135261,4.07730478398144e-19,4.16613178106104e-17,"Aeromonas rivipollensis"
"1348774",68.0266320116503,23.9317203523364,2.68147358915799,8.92483910678797,4.46347531496137e-19,4.52035500039097e-17,"Croceicoccus naphthovorans"
"2842356",60.5749016369202,-25.0180663880543,2.8062955188197,-8.91497927437685,4.87907513268674e-19,4.89790665074272e-17,"Pseudomonas xanthosomatis"
"168471",73.9368228433067,23.7082354436217,2.65983156738779,8.91343487095516,4.94754727944143e-19,4.91282696873123e-17,"Laribacter hongkongensis"
"1653480",58.4260470358762,23.6985637980514,2.65896131358541,8.91271477962785,4.97979664778768e-19,4.91282696873123e-17,"Alloactinosynnema sp. L-07"
"53431",88.2619127584801,23.6086601303233,2.65023774641371,8.90812915266583,5.19009161095623e-19,5.07653063211821e-17,"Nocardia salmonicida"
"3160607",59.4370139216295,23.5453409130741,2.64496050446059,8.90196313834026,5.48674923002471e-19,5.28448805269115e-17,"Azospirillum sp. A26"
"146922",40.1136787187846,23.4937234673174,2.6392118347997,8.90179528506865,5.49505486080258e-19,5.28448805269115e-17,"Streptomyces griseofuscus"
"3048007",129.910913205761,23.6562604281679,2.6581510542952,8.89951697438061,5.60902503725954e-19,5.34264658051512e-17,"Sagittula sp. MA-2"
"171632",31.4951040279294,24.4387708057321,2.74632100283098,8.8987306219994,5.64890105070193e-19,5.34264658051512e-17,"Mycoplasma ovis"
"157592",53.2462575810638,23.6747160925083,2.66096121967757,8.89705416126918,5.7348518408625e-19,5.37947905465823e-17,"Sterolibacterium denitrificans"
"2496847",52.5438019456546,23.5671524319824,2.65121057242384,8.88920430429502,6.15480678640124e-19,5.69743291079797e-17,"Sulfuricystis thermophila"
"29311",36.1741956207582,23.6361046088368,2.65906758128313,8.88886945755296,6.17338064434593e-19,5.69743291079797e-17,"Mycobacterium haemophilum"
"2497875",50.8077553139279,-24.8743870675973,2.80036607402041,-8.8825483562175,6.53458260911134e-19,5.98254107029362e-17,"Enterobacter chuandaensis"
"2744474",43.3156345596134,23.5676459302962,2.66097779170571,8.85676160235413,8.23724364706561e-19,7.48150922992213e-17,"Streptomyces sp. KMM 9044"
"3445355",37.0606672941341,23.5364833701252,2.65861519460492,8.8529108755142,8.526575048901e-19,7.68331691808055e-17,"Paramicrobacterium sp. CJ85"
"2975963",53.6385960354772,23.4873192919488,2.6541417407569,8.84930858487263,8.80631640170339e-19,7.87339725789794e-17,"Kitasatospora sp. NBC_00315"
"3125783",52.7039149185005,23.4693191105976,2.65270042391777,8.84733115695584,8.96371047893372e-19,7.95199245898585e-17,"Methanolobus sp. ZRKC2"
"285450",65.514320523219,-24.9500565167041,2.82129091125949,-8.84348948813854,9.27747346673748e-19,8.16703125794952e-17,"Streptomyces roseochromogenus"
"686597",125.270694367286,23.394942091895,2.64607443601099,8.84137716366113,9.45459129230248e-19,8.25941547703127e-17,"Martelella sp. AD-3"
