,122021_Coralina_2021_Baya_027_PSTR4_S34,122021_Coralina_2021_Baya_033_PSTR7_S35,122021_Coralina_2021_Baya_035_PSTR_S32,122021_Coralina_2021_Baya_037_PSTR_S33
5854,600.8811301,752.0720749,969.5290859,802.0974249
446,686.0262296,542.7324252,847.3195372,730.2678048
913109,116.7704221,341.1460958,171.0933681,167.602447
1159556,506.0051622,899.3851617,594.7531367,682.3813913
5127,569.2558075,783.0853563,806.583021,610.5517712
1501,289.493338,969.1650449,765.8465048,933.7850618
5855,452.4853855,883.878521,839.172234,682.3813913
64104,440.3217998,403.1726587,464.3962848,514.7789443
34085,695.7570981,519.4724641,374.7759492,586.6085645
36914,639.8046042,713.3054731,342.1867362,610.5517712
738,313.8205093,131.8064461,293.3029167,155.6308436
1303,1576.400698,441.9392605,554.0166205,658.4381846
680,566.8230904,728.8121138,513.2801043,622.5233746
4896,523.0341821,829.6052785,953.2344794,885.8986484
2268451,24.32717126,93.03984431,89.62033567,191.5456537
2748629,38.92347402,155.0664072,871.761447,706.3245981
158,1301.503662,558.2390659,749.5518983,778.1542182
1126,807.6620859,852.8652395,676.2261691,646.4665813
3003349,0,0,0,0
2704654,46.2216254,387.666018,293.3029167,227.4604638
663,934.1633764,674.5388713,464.3962848,0
3139728,0,0,1197.653577,838.012235
121627,720.0842693,1054.451569,668.0788659,1233.075146
1578925,581.4193931,1341.324422,1051.002118,1197.160336
1069201,588.7175445,969.1650449,1287.273912,1041.529492
45286,666.5644925,519.4724641,847.3195372,371.1197041
36845,291.9260551,635.7722695,464.3962848,610.5517712
670,491.4088595,1038.944928,831.0249307,730.2678048
1922217,442.7545169,589.2523473,659.9315627,622.5233746
148305,454.9181026,868.3718803,822.8776275,754.2110115
263511,189.7519358,364.4060569,301.45022,191.5456537
1303590,0,100.7931647,138.5041551,0
1898042,379.5038717,0,0,0
36050,690.8916638,434.1859401,391.0705556,419.0061175
5454,581.4193931,628.0189491,684.3734724,921.8134585
5147,895.2399024,767.5787156,814.7303243,742.2394081
76857,851.4509941,767.5787156,692.5207756,814.0690283
280754,914.7016394,364.4060569,725.1099886,538.7221511
459526,525.4668992,341.1460958,448.1016783,514.7789443
1404429,0,0,822.8776275,706.3245981
83641,55.9524939,116.2998054,790.2884145,419.0061175
2916754,153.2611789,186.0796886,219.9771876,263.3752739
29388,948.7596792,178.3263683,211.8298843,0
5833,323.5513778,697.7988323,1173.211667,993.6430786
669,403.8310429,860.6185599,651.7842594,670.409788
1892,384.3693059,759.8253952,659.9315627,0
196024,63.25064528,945.9050839,602.90044,490.8357376
2321133,729.8151378,713.3054731,439.9543751,478.8641343
2099387,661.6990583,503.9658234,0,574.6369611
317,608.1792815,604.758988,219.9771876,885.8986484
880535,673.8626439,821.8519581,725.1099886,826.0406316
5691,759.0077433,550.4857455,635.4896529,1041.529492
1503041,24.32717126,0,0,0
1355477,325.9840949,876.1252006,0,0
1462615,350.3112662,341.1460958,334.0394329,454.9209276
550,277.3297524,527.2257844,358.4813427,407.0345141
2743,0,434.1859401,0,0
5807,454.9181026,876.1252006,741.4045951,957.7282685
5824,527.8996164,2155.42306,1458.36728,1580.251643
101201,1123.915312,511.7191437,692.5207756,634.4949779
463800,316.2532264,457.4459012,374.7759492,359.1481007
996,372.2057203,860.6185599,977.6763891,1029.557889
2721244,0,2031.369934,2403.454457,4405.550035
107401,403.8310429,418.6792994,423.6597686,502.807341
1290,340.5803977,899.3851617,382.9232524,622.5233746
2697010,194.6173701,620.2656288,741.4045951,574.6369611
500148,464.6489711,372.1593773,293.3029167,634.4949779
817,527.8996164,488.4591826,464.3962848,466.8925309
36745,506.0051622,845.1119192,545.8693173,694.3529947
4952,776.0367632,976.9183653,1165.064364,1304.904766
4975,605.7465644,883.878521,831.0249307,1089.415905
584,450.0526683,1310.311141,1376.894248,1771.797297
367791,226.2426927,364.4060569,480.6908913,335.204894
28132,386.802023,534.9791048,472.5435881,598.5801678
36839,389.2347402,496.212503,472.5435881,634.4949779
2066072,104.6068364,2070.136536,2330.128727,3495.70818
181124,540.063202,914.8918024,602.90044,1029.557889
165179,501.139728,775.3320359,545.8693173,646.4665813
132608,172.722916,147.3130868,130.3568519,239.4320671
188913,844.1528428,1015.684967,773.993808,945.7566652
38293,756.5750262,449.6925808,423.6597686,502.807341
101028,844.1528428,705.5521527,765.8465048,694.3529947
3240067,0,0,0,0
181762,552.2267876,1162.998054,993.9709956,802.0974249
2034170,1094.722707,565.9923862,627.3423497,730.2678048
34406,535.1977677,969.1650449,806.583021,718.2962014
43675,38.92347402,108.546485,211.8298843,0
43658,175.1556331,116.2998054,228.1244908,239.4320671
1206,343.0131148,341.1460958,309.5975232,311.2616873
195108,486.5434252,1069.95821,1580.576829,1328.847973
42260,384.3693059,263.6128922,309.5975232,323.2332906
2764711,218.9445413,659.0322306,676.2261691,802.0974249
76859,406.2637601,907.1384821,977.6763891,682.3813913
3133280,0,0,0,0
796027,1099.588141,565.9923862,472.5435881,502.807341
453459,639.8046042,643.5255898,716.9626854,562.6653578
63577,1019.308476,1271.544539,798.4357178,1077.444302
715475,793.0657831,0,0,0
1220207,343.0131148,992.425006,611.0477432,849.9838383
1598,343.0131148,496.212503,619.1950464,574.6369611
1437360,109.4722707,193.833009,293.3029167,311.2616873
1421,391.6674573,883.878521,888.0560534,754.2110115
346,46.2216254,0,0,0
318829,571.6885246,480.7058623,399.2178589,383.0913074
851,471.9471225,426.4326198,293.3029167,454.9209276
45151,1153.107918,418.6792994,309.5975232,419.0061175
48095,474.3798396,891.6318413,904.3506599,897.8702518
1160,328.416812,550.4857455,439.9543751,1029.557889
1006,527.8996164,736.5654341,374.7759492,610.5517712
244734,209.2136728,217.0929701,741.4045951,538.7221511
1419277,124.0685734,0,847.3195372,466.8925309
199306,503.5724451,814.0986377,945.0871761,1065.472699
959,508.4378794,403.1726587,521.4274075,574.6369611
696485,265.1661667,0,146.6514584,0
3101277,352.7439833,193.833009,293.3029167,395.0629108
779,128.9340077,263.6128922,260.7137038,239.4320671
36035,413.5619114,503.9658234,782.1411113,921.8134585
113608,501.139728,589.2523473,505.132801,634.4949779
2745196,46.2216254,139.5597665,162.9460649,275.3468772
1328300,442.7545169,348.8994162,431.8070719,610.5517712
2663009,355.1767004,271.3662126,382.9232524,407.0345141
1573823,751.709592,232.5996108,358.4813427,562.6653578
314275,119.2031392,372.1593773,472.5435881,550.6937544
666563,240.8389955,317.8861347,285.1556135,454.9209276
28450,240.8389955,302.379494,285.1556135,0
33038,734.6805721,170.5730479,358.4813427,179.5740504
4924,335.7149634,806.3453174,439.9543751,574.6369611
79883,1036.337496,496.212503,757.6992016,634.4949779
28985,598.448413,457.4459012,472.5435881,538.7221511
2583452,107.0395535,449.6925808,171.0933681,251.4036705
324769,566.8230904,472.9525419,301.45022,454.9209276
2748319,228.6754099,178.3263683,154.7987616,0
1904463,167.8574817,209.3396497,179.2406713,383.0913074
1288,289.493338,333.3927755,309.5975232,287.3184806
273371,386.802023,597.0056677,578.4585302,466.8925309
78579,535.1977677,798.591997,936.9398729,730.2678048
1784714,121.6358563,3675.07385,969.5290859,2980.929236
197653,484.1107081,612.5123084,716.9626854,742.2394081
293387,576.5539589,2822.208611,1735.375591,2705.582359
582,839.2874085,620.2656288,757.6992016,407.0345141
1004,218.9445413,255.8595719,285.1556135,203.5172571
37727,2388.928218,271.3662126,244.4190973,442.9493242
1714849,411.1291943,666.7855509,374.7759492,538.7221511
136468,43.78890827,232.5996108,219.9771876,215.4888604
1283,379.5038717,682.2921916,562.1639237,790.1258216
1460447,778.4694803,775.3320359,741.4045951,730.2678048
2546360,257.8680154,201.5863293,309.5975232,263.3752739
818,379.5038717,302.379494,570.311227,442.9493242
729,425.7254971,465.1992216,765.8465048,359.1481007
1478,445.1872341,426.4326198,513.2801043,670.409788
258,994.9813046,674.5388713,529.5747108,694.3529947
1080349,381.9365888,573.7457066,570.311227,490.8357376
630,165.4247646,558.2390659,537.722014,766.1826148
456999,328.416812,690.045512,725.1099886,945.7566652
1775926,357.6094175,356.6527365,268.861007,335.204894
1685958,51.08705965,0,676.2261691,383.0913074
155978,177.5883502,356.6527365,545.8693173,478.8641343
83655,136.2321591,333.3927755,268.861007,287.3184806
40410,282.1951866,263.6128922,496.9854978,430.9777208
76335,333.2822463,224.8462904,0,514.7789443
548,150.8284618,1744.497081,105.9149422,4932.300583
172371,34.05803977,0,0,0
324770,304.0896408,341.1460958,464.3962848,430.9777208
