"","072023_Carolina_2023_Baya_053_MCAV_S3","072023_Carolina_2023_Baya_055_MCAV_S4","122021_Coralina_2021_Baya_003_MCAV_S27","122021_Coralina_2021_Baya_005_MCAV_S28","122021_Coralina_2021_Baya_007_MCAV_S29","122021_Coralina_2021_Baya_017_MCAV_S30","122021_Coralina_2021_Baya_023_MCAV_S31","072023_Carolina_2023_Baya_052_DCYL_S9","072023_Carolina_2023_Baya_065_DCYL_S1","072023_Carolina_2023_Baya_066_DCYL_S2","122021_Coralina_2021_Baya_001_DCYL_S24","122021_Coralina_2021_Baya_009_DCYL_S25","122021_Coralina_2021_Baya_010_DCYL_S26","122021_Coralina_2021_Baya_025_MMEA_S22","122021_Coralina_2021_Baya_029_MMEA_S23","122021_Coralina_2021_Baya_031_MMEA_S45","072023_Carolina_2023_Baya_057_SSID_S7","072023_Carolina_2023_Baya_059_SSID_S8","072023_Carolina_2023_Baya_061_SSID_S5","072023_Carolina_2023_Baya_063_SSID_S6","122021_Coralina_2021_Baya_019_SSID1_S46","122021_Coralina_2021_Baya_021_SSID2_S36","122021_Coralina_2021_Baya_027_PSTR4_S34","122021_Coralina_2021_Baya_033_PSTR7_S35","122021_Coralina_2021_Baya_035_PSTR_S32","122021_Coralina_2021_Baya_037_PSTR_S33","122021_Coralina_2021_Baya_013_DLAB_S43","122021_Coralina_2021_Baya_015_DLAB_S44"
"9",2923.36253895717,1714.01031305148,3371.39403962978,2870.79289585877,2890.24866553834,3751.92406362237,2518.05270590743,2486.06899231799,2049.30031032262,1363.20117679134,1708.17848156783,3512.64948494297,4992.51123315028,3366.05890603086,4869.59778995177,2554.2578997253,2306.59875537814,3004.21322586554,1671.48511724896,685.289289090095,12045.4554206475,2265.15241832234,1989.96260913777,3132.34142521535,2802.67231546358,3280.2193197735,2805.13555586381,1937.40002824977
"1325120",0,134.076916665761,4293.75655990586,1049.76755147075,546.803801588335,1795.79271421242,559.567267979429,550.821287551265,0,0,1108.00766371967,2407.54627619687,2845.73140289566,1271.62225338943,8474.97307674299,13927.9345852945,0,134.334737741955,193.282480984815,202.726232525745,7278.10445812779,733.453243003685,243.27171260853,527.225784442187,3886.26364673293,2549.9515150064,16522.5566806923,8264.96760819854
"158836",2091.71629942625,2340.91049097517,5184.31347603448,6362.87679156758,2187.21520635334,3655.72088250385,1758.63998507821,1033.11520232056,6074.71163417062,7976.31200187678,9579.64959257635,8682.95378300509,0,2206.63861617578,0,0,2852.65070563093,1978.38431947243,1301.25388606678,2292.17451868066,0,1498.00697687679,1800.21067330312,2015.86329345542,1751.67019716474,2226.71822437179,1895.77842511675,687.15666026593
"1351",2864.55926949538,1971.29304503173,4166.53414331605,3363.54093022259,1458.14347090223,4200.87224217547,3650.51027205628,1276.86446500073,2576.26324726272,2282.56941230178,3162.4385401999,4538.81675020721,0,4095.37166900421,6976.63529521937,3421.74171472634,2042.98746904921,1660.86584844599,2335.72350260523,1220.08855280832,1702.0752224828,1790.86993256377,1698.03655400754,1783.2636826721,2061.26772038455,1400.67759275,2851.37405403739,1819.05638120397
"5811",7300.00588032695,3330.18071394146,10877.5166184282,4370.46082653127,4131.40650088964,1603.38635197537,4383.27693250553,863.965358111906,1390.59663914749,684.770823690534,1200.34163569631,5762.32387417611,4393.40988517224,710.612435717625,1919.74528257714,578.32254333403,1440.44738601166,1312.81675520547,969.13469338865,181.583005820606,600.732431464516,1127.39279401627,943.894244921095,2504.32247610039,1686.49177122372,2035.17257066239,1541.28327245264,1603.3655406205
"1491",2419.33451499903,1532.82529053018,2798.89316497567,2056.68744777942,2395.52141648223,3527.44997434582,2851.12846065709,2192.00849392448,2063.93816968207,1103.24188261253,1615.84450959119,3117.96976753365,3045.43185222167,3197.75596072931,4916.42084562439,2329.35468842873,2118.3049794289,2265.37216828479,925.578077955452,319.635839012984,2452.99076181344,2550.24025129197,1880.49033846393,1791.01700303155,1890.17435228939,1843.62691695299,1402.56777793191,1236.88198847867
"208375",0,0,2671.67074838587,1413.97262034835,564.162652432409,2308.87634684454,786.058781209198,484.028784966309,0,0,1477.34355162623,1657.65481311915,3544.68297553669,748.013090229079,5384.65140235052,9172.83811788141,357.758174303548,262.563351041094,225.949942559713,309.68608526939,5760.86998378793,681.619091554662,204.348238591165,511.7191437233,2802.67231546358,2118.97379416025,12237.789183274,5701.49151170648
"1936156",680.437832343478,721.116389634767,540.695270506663,1435.39644792939,859.263116781669,1250.64135454079,639.505449119348,264.567705044309,673.341530534575,1591.45811802152,4455.11414787286,907.763350041441,948.577134298552,7854.13744740533,5384.65140235052,11630.708927051,1346.30049803704,873.175795322709,4848.39575540783,4441.32132729715,689.301956616336,642.743477967894,355.176700408453,620.265628755515,1010.26560208571,622.523374555554,924.769963471586,412.293996159558
"1219",1486.88267067649,862.44070720138,2449.03151935371,2249.50189600874,2048.34439960075,2308.87634684454,1825.25513602814,910.806853431226,1683.35382633644,1464.64870622698,854.089240783915,2802.22599360619,13130.3045431852,2113.13697989715,2528.44500632111,1638.58053944642,1139.17734449288,1691.39647066007,944.634097207477,355.703696333516,612.284978223449,1308.81232408785,1131.21346362966,1566.17071260767,1385.04155124654,1436.59240282051,2835.96122131287,1087.99804542106
"1405",3175.37655093623,1565.43859458402,3307.78283133488,3920.56044732952,2039.66497417871,2148.537711647,2131.68483039783,1505.86733100629,1668.71596697699,995.453882587166,1500.42704462039,2525.95019141966,1847.2291562656,2262.73959794296,5384.65140235052,1991.99987148388,2024.15809145429,2015.02106612933,541.735404450397,200.238794089846,103.972920830397,1741.6274886872,1372.05245911211,2333.74942819262,1979.79468795829,2130.94539751709,2404.40190502612,996.377157385598
"1795815",1150.86398803773,1079.86273422694,3085.14360230273,4413.30848169334,1727.20565898538,3719.85633658286,2504.72967571745,832.737694565693,1010.01229580186,1559.75576507288,6694.21296830636,1894.46264356475,2895.65651522716,0,2200.68361661282,1188.77411685328,2363.08688816291,1080.78402637846,2014.4934637854,2771.00641759116,1621.20739517027,694.577629416918,608.179281521324,1139.73809283826,920.645266416816,1915.45653709401,3884.03384658066,664.251438257065
"1404",2083.31583236028,1380.62987161229,1940.1418529945,2056.68744777942,2117.77980297704,2308.87634684454,3024.32785312692,1801.66269959682,2210.31676327654,1268.09411794543,1708.17848156783,3078.50179579271,1847.2291562656,1159.42028985507,3652.19834246383,1060.25799611239,1685.22929474566,1990.59656835806,1192.36234748379,400.477588179693,381.234043044789,2195.17631386615,2924.12598555453,3016.04161982369,2362.71794036174,2657.69594521794,1957.42975601486,1471.66051406953
