taxonomy_id,072023_Carolina_2023_Baya_052_DCYL_S9_S_filt.bracken_num,072023_Carolina_2023_Baya_053_MCAV_S3_S_filt.bracken_num,072023_Carolina_2023_Baya_055_MCAV_S4_S_filt.bracken_num,072023_Carolina_2023_Baya_057_SSID_S7_S_filt.bracken_num,072023_Carolina_2023_Baya_059_SSID_S8_S_filt.bracken_num,072023_Carolina_2023_Baya_061_SSID_S5_S_filt.bracken_num,072023_Carolina_2023_Baya_063_SSID_S6_S_filt.bracken_num,072023_Carolina_2023_Baya_065_DCYL_S1_S_filt.bracken_num,072023_Carolina_2023_Baya_066_DCYL_S2_S_filt.bracken_num,122021_Coralina_2021_Baya_001_DCYL_S24_S_filt.bracken_num,122021_Coralina_2021_Baya_003_MCAV_S27_S_filt.bracken_num,122021_Coralina_2021_Baya_005_MCAV_S28_S_filt.bracken_num,122021_Coralina_2021_Baya_007_MCAV_S29_S_filt.bracken_num,122021_Coralina_2021_Baya_009_DCYL_S25_S_filt.bracken_num,122021_Coralina_2021_Baya_010_DCYL_S26_S_filt.bracken_num,122021_Coralina_2021_Baya_013_DLAB_S43_S_filt.bracken_num,122021_Coralina_2021_Baya_015_DLAB_S44_S_filt.bracken_num,122021_Coralina_2021_Baya_017_MCAV_S30_S_filt.bracken_num,122021_Coralina_2021_Baya_019_SSID1_S46_S_filt.bracken_num,122021_Coralina_2021_Baya_021_SSID2_S36_S_filt.bracken_num,122021_Coralina_2021_Baya_023_MCAV_S31_S_filt.bracken_num,122021_Coralina_2021_Baya_025_MMEA_S22_S_filt.bracken_num,122021_Coralina_2021_Baya_027_PSTR4_S34_S_filt.bracken_num,122021_Coralina_2021_Baya_029_MMEA_S23_S_filt.bracken_num,122021_Coralina_2021_Baya_031_MMEA_S45_S_filt.bracken_num,122021_Coralina_2021_Baya_033_PSTR7_S35_S_filt.bracken_num,122021_Coralina_2021_Baya_035_PSTR_S32_S_filt.bracken_num,122021_Coralina_2021_Baya_037_PSTR_S33_S_filt.bracken_num
823,931,60,138,56,99,147,113,53,75,0,22,32,55,24,0,0,32,32,0,283,26,27,103,0,0,49,61,49
3136677,927,0,24,39,57,23,0,15,25,0,0,0,15,0,0,13,99,0,0,41,14,0,171,0,0,20,14,21
75612,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,909,15,49,48,91,75,60,42,44,15,10,13,43,24,0,27,235,19,11,132,26,35,192,13,32,51,37,26
2682810,909,45,74,0,0,11,13,0,0,0,0,27,169,0,0,0,34,36,0,100,108,0,60,0,0,36,18,0
644,907,236,513,68,82,182,383,0,39,37,70,167,286,0,0,26,261,97,105,120,93,0,304,0,0,62,55,60
755731,906,25,47,24,39,16,20,0,14,0,0,13,60,0,0,0,144,0,0,41,0,0,68,0,0,11,21,0
5861,892,165,244,128,193,234,132,75,97,63,29,69,118,42,37,39,198,39,56,1067,77,66,603,65,45,192,187,142
1069201,887,71,102,119,100,106,164,65,36,32,27,24,64,0,0,43,321,58,95,320,31,45,242,55,33,125,158,87
188913,883,34,80,48,71,100,92,27,37,19,21,21,45,10,21,14,126,26,12,1123,18,37,347,28,22,131,95,79
48296,881,104,112,83,109,166,168,70,49,44,30,47,116,26,28,70,225,28,33,353,39,154,362,65,170,184,152,63
478,881,34,52,0,13,0,0,0,0,0,0,19,0,0,0,0,0,15,0,0,84,0,11,0,0,0,0,0
1451,881,18,31,0,32,32,56,72,45,46,0,0,29,21,0,19,0,0,0,181,22,29,117,0,33,80,99,75
4924,878,110,125,41,70,87,68,35,42,0,36,38,83,21,10,61,266,22,112,204,56,21,138,0,28,104,54,48
3415140,874,32,53,21,30,39,59,0,0,0,0,13,54,0,0,25,53,15,0,113,53,0,159,18,17,39,86,67
2751,869,40,51,26,40,66,48,21,20,0,0,0,32,21,0,0,62,12,0,99,44,14,124,0,0,22,48,29
29348,867,49,58,10,14,35,30,23,20,0,0,14,48,0,10,0,38,0,0,90,36,0,60,16,0,43,40,55
5691,867,94,127,49,70,109,80,47,61,0,54,39,145,23,0,21,152,23,114,228,80,35,312,21,64,71,78,87
29176,863,61,82,51,84,116,121,27,25,0,28,32,42,0,0,29,359,36,49,193,20,20,201,19,20,80,91,72
592064,858,59,32,0,0,27,38,0,0,0,0,0,27,0,0,18,60,0,47,0,23,0,17,0,0,0,0,0
450367,855,112,137,86,147,142,119,0,26,0,59,52,42,0,0,55,638,33,11,446,29,747,278,127,835,127,156,101
