,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_023_MCAV_S31
64104,1100.461186,597.9105743,1176.807353,1071.191379,867.9425422,1282.709082,812.7048416
34085,1024.856982,677.6319842,1208.612958,1563.939413,1284.554962,1603.386352,1225.718777
36914,999.6555809,645.0186802,2480.837124,1135.462862,703.0334592,1154.438173,639.5054491
738,226.8126108,159.4428198,0,364.2050689,0,0,0
1303,403.2224192,199.3035248,0,0,295.1004643,0,253.1375736
680,722.4401677,742.8585923,1558.474603,835.5292757,607.5597795,962.0318112,852.6739322
4896,1092.060719,507.3180631,1590.280207,921.224586,529.4449507,962.0318112,639.5054491
2268451,0,54.35550676,0,0,182.2679339,833.760903,0
2748629,0,0,1272.224166,385.6288965,216.9856356,448.9481786,239.8145434
158,949.2527785,539.9313671,1304.02977,1178.310517,885.301393,1924.063622,666.1515095
1126,445.2247545,311.6382387,731.5288954,1285.429655,607.5597795,1378.912263,932.6121133
3003349,512.428491,8816.463196,0,0,0,0,0
2704654,193.2107425,144.948018,0,364.2050689,0,0,173.1993925
663,0,438.4677545,0,0,381.8947186,1122.370446,826.0278718
3139728,0,0,1717.502624,0,0,0,0
121627,714.0397006,413.1018513,922.3625203,685.5624826,251.7033372,929.9640841,373.0448453
1578925,1142.463521,645.0186802,1590.280207,1049.767551,546.8038016,1122.370446,786.0587812
1069201,596.4331617,369.6174459,858.751312,514.1718619,555.483227,1859.928168,413.0139359
45286,646.8359641,333.3804414,922.3625203,835.5292757,1189.081283,1346.844536,1065.842415
36845,428.4238204,246.4116306,795.1401037,557.0195171,312.4593152,1891.995895,506.2751472
670,546.0303593,847.9459054,699.7232912,599.8671723,685.6746083,737.5577219,706.1206001
1922217,1251.669593,855.1933063,2067.36427,1328.27731,1032.851625,2501.282709,1172.426657
148305,1318.873329,597.9105743,1208.612958,1156.886689,720.39231,737.5577219,1212.395747
263511,462.0256886,188.4324234,445.2784581,1199.734345,112.8325305,1026.167265,386.3678755
1303590,0,0,0,0,0,0,0
1898042,0,119.5821149,0,0,0,0,0
36050,840.0467066,521.8128649,2353.614707,728.4101378,512.0860999,545.1513597,1505.502411
5454,806.4448383,409.4781509,1081.390541,899.8007584,928.6985202,1539.250898,865.9969623
5147,831.6462395,431.2203536,1717.502624,878.3769308,694.3540338,1218.573628,1545.471502
76857,411.6228862,271.7775338,0,685.5624826,216.9856356,448.9481786,0
280754,428.4238204,297.1434369,477.0840622,492.7480344,694.3540338,962.0318112,559.567268
459526,865.2481078,518.1891644,1272.224166,964.0722411,841.9042659,2052.334531,826.0278718
1404429,0,0,1367.640978,0,0,0,0
83641,0,43.48440541,604.3064788,0,156.2296576,352.7449974,146.5533321
2916754,478.8266228,413.1018513,985.9737286,706.9863102,503.4066745,609.2868138,359.7218151
29388,420.0233533,329.756741,1908.336249,0,460.0095474,0,466.3060566
5833,865.2481078,496.4469617,1367.640978,1114.039034,1154.363581,1282.709082,1265.687868
669,0,521.8128649,0,1006.919896,572.8420779,929.9640841,546.2442378
1892,411.6228862,376.8648468,0,1821.025344,850.5836914,3078.501796,426.3369661
196024,176.4098084,152.1954189,667.9176871,0,286.4210389,0,146.5533321
2321133,126.007006,10827.61695,0,299.9335861,277.7416135,0,0
2099387,554.4308264,405.8544504,1049.584937,1049.767551,607.5597795,609.2868138,932.6121133
317,504.028024,391.3596486,0,985.4960687,251.7033372,1827.860441,599.5363585
880535,554.4308264,289.896036,1431.252187,449.9003792,1241.157835,962.0318112,1505.502411
