Gene_Family,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_023_MCAV_S31
2.8.3.17-RXN: (expasy) 3-(aryl)acryloyl-CoA:(R)-3-(aryl)lactate CoA-transferase [2.8.3.17],0,0,0,0,0,0
2.8.3.7-RXN: (expasy) Succinyl-CoA--L-malate CoA-transferase [2.8.3.22],0,29.2472,0,0,0,0
2.8.3.9-RXN: (expasy) Butyrate--acetoacetate CoA-transferase [2.8.3.9],0,66.8127,0,0,0,0
2.9.1.1-RXN: (expasy) L-seryl-tRNA(Sec) selenium transferase [2.9.1.1],38.1663,76.6975,0,0,0,0
"24-DIAMINOPENTANOATE-DEHYDROGENASE-RXN: (expasy) 2,4-diaminopentanoate dehydrogenase [1.4.1.12]",0,20.3901,0,0,0,0
"24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN: (expasy) 2,4-dichlorophenol 6-monooxygenase [1.14.13.20]",0,0,0,0,0,0
"25-DIOXOVALERATE-DEHYDROGENASE-RXN: (expasy) 2,5-dioxovalerate dehydrogenase [1.2.1.26]",0,0,0,0,0,0
2OXOGLUTDECARB-RXN: (expasy) Oxoglutarate dehydrogenase (succinyl-transferring) [1.2.4.2],0,76.0205,0,0,54.5154,0
2PGADEHYDRAT-RXN: (expasy) Phosphopyruvate hydratase [4.2.1.11],0,295.23,53.1045,250.422,0,0
2TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1],0,249.795,61.2607,0,65.076,0
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN: (expasy) 3-methyl-2-oxobutanoate hydroxymethyltransferase [2.1.2.11],0,136.16,58.4988,0,60.2621,0
3-DEHYDROQUINATE-DEHYDRATASE-RXN: (expasy) 3-dehydroquinate dehydratase [4.2.1.10],0,61.1156,0,0,0,0
3-DEHYDROQUINATE-SYNTHASE-RXN: (expasy) 3-dehydroquinate synthase [4.2.3.4],0,79.3454,0,0,0,0
3-DEHYDROSPHINGANINE-REDUCTASE-RXN: (expasy) 3-dehydrosphinganine reductase [1.1.1.102],0,0,0,0,0,0
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN: (expasy) 3-hydroxybutyryl-CoA dehydratase [4.2.1.55],0,23.4479,0,0,0,0
3-HYDROXY-KYNURENINASE-RXN: (expasy) Kynureninase [3.7.1.3],0,0,0,0,0,0
3-HYDROXYASPARTATE-ALDOLASE-RXN: (expasy) 3-hydroxy-D-aspartate aldolase [4.1.3.41],0,0,0,0,0,0
3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN: (expasy) 3-hydroxybenzoate 6-monooxygenase [1.14.13.24],0,0,0,0,0,0
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN: (expasy) 3-hydroxybutyrate dehydrogenase [1.1.1.30],26.7382,16.7316,0,0,0,0
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN: (expasy) 3-hydroxybutyryl-CoA dehydrogenase [1.1.1.157],37.1477,78.7241,42.0219,0,138.106,0
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59],0,200.212,0,0,0,0
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN: (expasy) 3-hydroxyisobutyrate dehydrogenase [1.1.1.31],0,15.764,0,0,0,44.9231
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN: (expasy) 3-hydroxyisobutyryl-CoA hydrolase [3.1.2.4],0,0,0,0,0,0
3-NUCLEOTID-RXN: (expasy) 3'-nucleotidase [3.1.3.6],0,36.9705,0,0,0,0
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN: (expasy) 4-hydroxy-3-polyprenylbenzoate decarboxylase [4.1.1.98],0,7.14342,0,0,0,0
3-OXOACID-COA-TRANSFERASE-RXN: (expasy) 3-oxoacid CoA-transferase [2.8.3.5],0,47.4383,0,0,0,0
