Gene_Family,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36
1.3.7.3-RXN: (expasy) Phycoerythrobilin:ferredoxin oxidoreductase [1.3.7.3],0,0,91.7048,4.88939,0,0
1.3.7.5-RXN: (expasy) Phycocyanobilin:ferredoxin oxidoreductase [1.3.7.5],0,0,31.6272,13.6183,0,0
1.3.99.15-RXN: (expasy) Benzoyl-CoA reductase [1.3.7.8],0,0,0,9.66896,0,0
1.3.99.16-RXN: (expasy) Isoquinoline 1-oxidoreductase [1.3.99.16],0,0,70.2854,109.831,38.8225,0
1.4.1.21-RXN: (expasy) Aspartate dehydrogenase [1.4.1.21],0,0,0,11.6215,0,0
1.4.3.19-RXN: (expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3],0,0,4.42848,12.4154,0,0
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20],589.195,752.292,344.515,349.792,115.768,14.1824
"1.5.1.34-RXN: (expasy) 6,7-dihydropteridine reductase [1.5.1.34]",36.3634,0,0,16.2823,0,0
"1.5.1.7-RXN: (expasy) Saccharopine dehydrogenase (NAD(+), L-lysine-forming) [1.5.1.7]",0,0,45.1624,16.947,0,0
"1.5.1.8-RXN: (expasy) Saccharopine dehydrogenase (NADP(+), L-lysine-forming) [1.5.1.8]",0,0,0,2.86231,0,0
"1.5.1.9-RXN: (expasy) Saccharopine dehydrogenase (NAD(+), L-glutamate-forming) [1.5.1.9]",0,0,0,2.86231,0,0
1.5.5.1-RXN-YEAST: (expasy) Electron-transferring-flavoprotein dehydrogenase [1.5.5.1],0,0,32.2789,41.0225,0,0
1.5.8.2-RXN: (expasy) Trimethylamine dehydrogenase [1.5.8.2],0,0,0,33.8479,0,0
1.6.4.4-RXN: (expasy) Protein-disulfide reductase [1.8.1.8],0,0,0,15.6016,0,0
1.7.2.2-RXN: (expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2],0,0,6.5234,61.2472,0,0
1.7.2.3-RXN: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3],0,0,13.6337,15.0943,11.1742,0
1.8.1.15-RXN: (expasy) Mycothione reductase [1.8.1.15],0,0,5.52128,7.33075,0,0
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4],33.4002,136.478,239.051,531.489,127.542,0
1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12],52.5124,17.307,50.2687,147.966,40.5831,0
1.8.4.8-RXN: (expasy) Phosphoadenylyl-sulfate reductase (thioredoxin) [1.8.4.8],0,17.1165,40.8335,107.135,52.7831,0
1.8.98.1-RXN: (expasy) Dihydromethanophenazine:CoB--CoM heterodisulfide reductase [1.8.98.1],0,0,0,0,0,0
"13-PROPANEDIOL-DEHYDROGENASE-RXN: (expasy) 1,3-propanediol dehydrogenase [1.1.1.202]",0,0,0,0,0,0
1PFRUCTPHOSN-RXN: (expasy) 1-phosphofructokinase [2.7.1.56],0,0,7.87918,0,0,0
1TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1],49.4653,0,79.4018,275.415,169.875,0
"2-CHLOROBENZOATE-12-DIOXYGENASE-RXN: (expasy) 2-halobenzoate 1,2-dioxygenase [1.14.12.13]",0,0,0,0,10.6868,0
2-DEHYDROPANTOATE-REDUCT-RXN: (expasy) 2-dehydropantoate 2-reductase [1.1.1.169],0,0,25.0804,47.2733,160.128,0
2-HALOACID-DEHALOGENASE-RXN: (expasy) AMBIGUOUS [3.8.1.10; 3.8.1.2],0,0,0,8.31008,0,0
2-HYDROXY-3-OXOADIPATE-SYNTHASE-RXN: (expasy) 2-hydroxy-3-oxoadipate synthase [2.2.1.5],0,0,0,5.27817,0,0
2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN: (expasy) L-2-hydroxyglutarate dehydrogenase [1.1.99.2],0,0,0,3.58633,0,0
2-ISOPROPYLMALATESYN-RXN: (expasy) 2-isopropylmalate synthase [2.3.3.13],78.8937,33.3534,102.325,236.47,214.046,0
2-METHYLCITRATE-DEHYDRATASE-RXN: (expasy) 2-methylcitrate dehydratase [4.2.1.79],0,79.3681,0,17.0495,0,0
2-METHYLCITRATE-SYNTHASE-RXN: (expasy) 2-methylcitrate synthase [2.3.3.5],0,31.2586,0,50.3476,22.5081,0
2-NITROPROPANE-DIOXYGENASE-RXN: (expasy) Nitronate monooxygenase [1.13.12.16],0,0,0,15.7449,0,0
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN: (metacyc) 2-octaprenyl-6-hydroxyphenyl methylase [2.1.1.222],0,0,10.4076,50.8104,0,0
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]",0,0,37.8097,101.329,48.9885,0
2-OXOGLUTARATE-SYNTHASE-RXN: (expasy) 2-oxoglutarate synthase [1.2.7.3],0,0,5.30912,36.113,24.5039,0
2-OXOPENT-4-ENOATE-HYDRATASE-RXN: (expasy) 2-oxopent-4-enoate hydratase [4.2.1.80],12.0628,18.7398,10.8211,28.4324,41.7627,0
2.1.1.113-RXN: (expasy) Site-specific DNA-methyltransferase (cytosine-N(4)-specific) [2.1.1.113],53.1015,47.8017,0,0,0,0
2.1.1.130-RXN: (expasy) Precorrin-2 C(20)-methyltransferase [2.1.1.130],0,0,35.9436,38.6594,0,0
2.1.1.131-RXN: (expasy) Precorrin-3B C(17)-methyltransferase [2.1.1.131],0,0,7.89159,10.3442,0,0
"2.1.1.132-RXN: (expasy) Precorrin-6B C(5,15)-methyltransferase (decarboxylating) [2.1.1.132]",0,0,15.041,12.1794,42.6538,0
2.1.1.133-RXN: (expasy) Precorrin-4 C(11)-methyltransferase [2.1.1.133],0,0,21.0507,9.68788,54.1191,0
2.1.1.137-RXN: (expasy) Arsenite methyltransferase [2.1.1.137],0,0,0,1.75811,0,0
2.1.1.151-RXN: (expasy) Cobalt-factor II C(20)-methyltransferase [2.1.1.151],0,0,38.1291,15.8379,0,0
2.1.1.34-RXN: (expasy) tRNA (guanosine(18)-2'-O)-methyltransferase [2.1.1.34],0,0,0,35.069,0,0
2.1.1.44-RXN: (expasy) L-histidine N(alpha)-methyltransferase [2.1.1.44],0,0,6.61028,0,0,0
2.1.1.5-RXN: (expasy) Betaine--homocysteine S-methyltransferase [2.1.1.5],0,0,0,2.84035,0,0
2.1.1.63-RXN: (expasy) Methylated-DNA--[protein]-cysteine S-methyltransferase [2.1.1.63],26.1361,0,7.96002,89.9254,19.8972,0
2.1.1.64-RXN: (expasy) 3-demethylubiquinol 3-O-methyltransferase [2.1.1.64],55.5451,0,10.4076,133.333,0,0
2.1.1.72-RXN: (expasy) Site-specific DNA-methyltransferase (adenine-specific) [2.1.1.72],39.851,0,118.207,63.5635,0,0
2.1.1.74-RXN: (expasy) (NAD(P)H-oxidizing) [2.1.1.74],0,0,126.351,70.8251,69.4583,0
2.1.1.77-RXN: (expasy) Protein-L-isoaspartate(D-aspartate) O-methyltransferase [2.1.1.77],0,0,141.153,173.66,14.9971,0
2.1.1.79-RXN: (expasy) Cyclopropane-fatty-acyl-phospholipid synthase [2.1.1.79],0,0,11.971,22.8481,0,0
2.1.3.1-RXN: (expasy) Methylmalonyl-CoA carboxytransferase [2.1.3.1],8.34194,0,65.0567,73.6567,41.4921,0
2.1.3.9-RXN: (expasy) N-acetylornithine carbamoyltransferase [2.1.3.9],0,0,0,11.5694,0,0
2.3.1.101-RXN: (expasy) Formylmethanofuran--tetrahydromethanopterin N-formyltransferase [2.3.1.101],0,0,0,17.7389,0,0
2.3.1.128-RXN: (expasy) [Ribosomal protein S18]-alanine N-acetyltransferase [2.3.1.266],0,0,0,1.78827,0,0
2.3.1.154-RXN: (expasy) Propanoyl-CoA C-acyltransferase [2.3.1.176],0,0,0,4.98639,0,0
2.3.1.157-RXN: (expasy) Glucosamine-1-phosphate N-acetyltransferase [2.3.1.157],0,0,96.1591,76.8005,22.7137,0
2.3.1.168-RXN: (expasy) Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase [2.3.1.168],0,0,0,0,17.1256,0
2.3.1.176-RXN: (expasy) Propanoyl-CoA C-acyltransferase [2.3.1.176],0,0,0,4.98639,0,0
2.3.1.179-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase II [2.3.1.179],20.4822,19.2594,178.411,193.665,23.7119,0
2.3.1.180-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase III [2.3.1.180],72.103,0,104.092,199.459,35.3811,0
2.3.1.184-RXN: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184],0,0,0,28.2823,70.4785,0
2.3.1.41-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase I [2.3.1.41],37.0329,47.8823,210.764,239.576,240.701,0
2.3.1.89-RXN: (expasy) Tetrahydrodipicolinate N-acetyltransferase [2.3.1.89],0,0,0,9.27729,0,0
2.3.2.13-RXN: (expasy) Protein-glutamine gamma-glutamyltransferase [2.3.2.13],0,0,0,0,28.272,0
2.4.1.129-RXN: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129],15.9965,0,31.6673,123.596,0,1.85357
2.4.1.135-RXN: (expasy) Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase [2.4.1.135],0,0,0,0,0,0
"2.4.1.157-RXN: (expasy) 1,2-diacylglycerol 3-alpha-glucosyltransferase [2.4.1.337]",0,0,0,1.76737,0,0
"2.4.1.211-RXN: (expasy) 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [2.4.1.211]",0,0,0,2.93153,0,0
2.4.1.213-RXN: (expasy) Glucosylglycerol-phosphate synthase [2.4.1.213],0,0,99.6837,5.07512,0,0
