,Gene_Family,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36,122021_Coralina_2021_Baya_023_MCAV_S31
6372,RXN0-2661: (expasy) Adenine glycosylase [3.2.2.31],0,0,0,0,0,0,13.2736,0,0,0,0,0,0,0,0,0,0,0,0
6374,RXN0-280: (expasy) Alkanesulfonate monooxygenase [1.14.14.5],0,0,0,0,0,0,6.83805,0,0,0,0,0,0,0,0,0,49.2474,0,0
6376,RXN0-2921: (expasy) Tetrahydrofolate synthase [6.3.2.17],0,0,81.9015,0,0,0,22.2293,0,0,0,0,0,0,0,0,0,0,0,0
6378,RXN0-299: (expasy) Taurine dioxygenase [1.14.11.17],0,0,0,0,0,14.3047,44.8173,0,0,0,0,0,0,0,0,0,48.4212,0,0
6380,"RXN0-302: (expasy) 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [4.6.1.12]",0,12.113,129.935,54.2501,12.2892,134.516,82.6809,0,48.6047,58.6382,0,47.3776,0,133.438,0,0,86.7209,0,0
6383,RXN0-305: (expasy) Hydroxypyruvate isomerase [5.3.1.22],0.573517,0,9.28796,0,0,0,13.7905,0,0,0,0,0,0,0,0,0,0,0,0
6385,RXN0-3241: (expasy) Beta-aspartyl-peptidase [3.4.19.5],0,0,35.6856,0,0,13.4042,14.0356,0,0,0,0,0,0,0,0,0,0,0,0
6387,RXN0-3501: (expasy) Nitrate reductase (quinone) [1.7.5.1],0,0,0,0,0,0,8.06259,0,0,0,0,0,0,0,0,0,0,0,0
6389,RXN0-3521: (expasy) Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [2.4.2.53],0,0,0,0,0,0,6.91207,0,0,0,0,0,0,0,0,0,0,0,0
6391,RXN0-3601: (expasy) L-carnitine CoA-transferase [2.8.3.21],0,0,9.96121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6393,RXN0-363: (expasy) Purine nucleosidase [3.2.2.1],0,0,0,0,0,0,3.6307,0,0,0,0,0,0,0,0,0,0,0,0
6395,RXN0-366: (metacyc) guanosine hydrolase [3.2.2.1],0,0,0,0,0,0,3.6307,0,0,0,0,0,0,0,0,0,0,0,0
6397,RXN0-3741: (expasy) 5'-deoxynucleotidase [3.1.3.89],0,0,10.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6399,RXN0-383: (expasy) AMBIGUOUS [3.6.1.65; 3.6.1.9],0,0,0,0,0,6.3481,0,0,0,0,0,0,0,0,0,52.0063,0,0,0
6401,RXN0-384: (expasy) Nucleotide diphosphatase [3.6.1.9],0.659276,0,10.7491,0,0,9.35748,25.6701,0,14.442,0,0,0,0,0,0,0,0,0,0
6403,RXN0-385: (expasy) Nucleotide diphosphatase [3.6.1.9],0.659276,0,10.7491,0,0,9.35748,25.6701,0,14.442,0,0,0,0,0,0,0,0,0,0
6405,RXN0-3901: (expasy) Glutamate--putrescine ligase [6.3.1.11],0,0,0,0,19.4158,40.2358,37.4937,0,0,0,0,0,0,0,0,0,0,0,0
6407,RXN0-3962: (expasy) Aldehyde dehydrogenase (NADP(+)) [1.2.1.4],0,0,0,0,0,16.4114,9.41434,0,0,0,0,0,0,0,0,0,0,0,0
6409,RXN0-4022: (expasy) PreQ(1) synthase [1.7.1.13],2.2189,0,119.42,24.5987,10.5886,51.3152,69.868,0,74.1201,105.505,0,0,74.5674,0,0,0,61.5812,0,0
6411,RXN0-4141: (expasy) Hydrogenase (acceptor) [1.12.99.6],0,0,94.7735,0,0,137.984,83.0224,0,42.8774,65.2944,0,0,0,0,0,0,0,0,0
6413,RXN0-4181: (expasy) Cyclic-guanylate-specific phosphodiesterase [3.1.4.52],0,0,18.7617,0,0,0,0,21.0987,0,0,0,0,0,0,0,0,0,0,0
6415,RXN0-4222: (expasy) Exoribonuclease II [3.1.13.1],0,0,87.3308,0,0,69.3447,57.6733,0,29.3093,0,0,0,0,0,0,0,0,0,0
6417,RXN0-4301: (expasy) D-sedoheptulose 7-phosphate isomerase [5.3.1.28],0,0,75.8484,20.7361,0,33.8132,67.8503,0,73.4007,0,0,0,0,0,0,82.8634,0,0,0
6419,RXN0-4341: (expasy) D-glycero-beta-D-manno-heptose-7-phosphate kinase [2.7.1.167],0,0,67.9229,14.3957,0,20.079,23.0767,0,0,0,0,0,0,0,0,0,31.1989,0,0
6421,RXN0-4342: (expasy) D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [2.7.7.70],0,0,93.6844,14.3957,25.6773,20.079,51.6473,0,0,0,0,0,0,0,0,0,31.1989,0,50.999
6423,"RXN0-4361: (expasy) D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase [3.1.3.82]",0,0,0,0,0,0,2.77307,0,0,0,0,0,0,0,0,0,0,0,0
6425,RXN0-4401: (expasy) NAD(+) diphosphatase [3.6.1.22],0,0,30.0254,0,0,12.7112,10.6568,0,18.8142,0,0,0,0,0,0,0,53.3794,0,0
6427,RXN0-4621: (expasy) Anhydro-N-acetylmuramic acid kinase [2.7.1.170],0.443886,0,52.0955,0,30.5485,45.2595,40.512,0,76.6544,0,0,0,0,0,0,0,0,0,0
6429,RXN0-4641: (expasy) N-acetylmuramic acid 6-phosphate etherase [4.2.1.126],0,0,0,0,0,0,30.5343,0,0,0,0,0,0,0,0,0,0,0,0
6432,"RXN0-5038: (expasy) 3',5'-cyclic-AMP phosphodiesterase [3.1.4.53]",0,0,13.3234,0,0,62.6233,26.9967,0,46.2133,0,0,0,0,0,0,0,60.2103,0,0
