"","072023_Carolina_2023_Baya_053_MCAV_S3","072023_Carolina_2023_Baya_055_MCAV_S4","122021_Coralina_2021_Baya_003_MCAV_S27","122021_Coralina_2021_Baya_005_MCAV_S28","122021_Coralina_2021_Baya_007_MCAV_S29","122021_Coralina_2021_Baya_017_MCAV_S30","122021_Coralina_2021_Baya_023_MCAV_S31","072023_Carolina_2023_Baya_052_DCYL_S9","072023_Carolina_2023_Baya_065_DCYL_S1","072023_Carolina_2023_Baya_066_DCYL_S2","122021_Coralina_2021_Baya_001_DCYL_S24","122021_Coralina_2021_Baya_009_DCYL_S25","122021_Coralina_2021_Baya_010_DCYL_S26","122021_Coralina_2021_Baya_025_MMEA_S22","122021_Coralina_2021_Baya_029_MMEA_S23","122021_Coralina_2021_Baya_031_MMEA_S45","072023_Carolina_2023_Baya_057_SSID_S7","072023_Carolina_2023_Baya_059_SSID_S8","072023_Carolina_2023_Baya_061_SSID_S5","072023_Carolina_2023_Baya_063_SSID_S6","122021_Coralina_2021_Baya_019_SSID1_S46","122021_Coralina_2021_Baya_021_SSID2_S36","122021_Coralina_2021_Baya_027_PSTR4_S34","122021_Coralina_2021_Baya_033_PSTR7_S35","122021_Coralina_2021_Baya_035_PSTR_S32","122021_Coralina_2021_Baya_037_PSTR_S33","122021_Coralina_2021_Baya_013_DLAB_S43","122021_Coralina_2021_Baya_015_DLAB_S44"
"122021_Coralina_2021_Baya_001_DCYL_S24",0.848690683539079,0.4770674457786,0.941575451554021,0.714389331054986,0.716141819606947,0.707654475653942,0.819399279024768,0.97949969151838,0.907416193928475,0.468115744231527,0,0.878029109843661,0.86345275748066,0.669828628958818,0.635427907315778,0.63722939441958,0.651075120327381,0.637693449887494,0.48920447751435,0.446840372338911,0.429629822084643,0.991888547303933,0.974551125725447,0.94091864054938,0.917563138466613,0.910206754507214,0.490454986445836,0.585180414498412
"122021_Coralina_2021_Baya_009_DCYL_S25",0.671181256964841,0.864166392559654,0.66590295426563,0.67998008882045,0.726817685069873,0.773294506661914,0.697196327175051,0.973325466121666,0.629682284933653,0.886016737945982,0.878029109843661,0,0.759613688882128,0.960011878247983,0.918350243256059,0.949953501814205,0.789581516079289,0.792904234166576,0.882221828764603,0.920986770384169,0.906419894378846,0.991936533389556,0.975871033745509,0.928203110052664,0.909909599194743,0.940903625437658,0.8972953023205,0.893569539640747
"122021_Coralina_2021_Baya_010_DCYL_S26",0.858079957136859,0.859539110679651,0.901560012258125,0.797900995034697,0.783709652512527,0.815350149585756,0.866431086946299,0.976182352669597,0.872531782899311,0.842048247785556,0.86345275748066,0.759613688882128,0,0.93200856683332,0.923776162102077,0.9147975335175,0.82050852338711,0.802946693080647,0.845675734923114,0.868069543287946,0.857413842094825,0.99131520124123,0.976311787894224,0.955033897736083,0.940718506776106,0.982623142175903,0.88521343843019,0.830526234215384
"122021_Coralina_2021_Baya_025_MMEA_S22",0.924540159809496,0.61278914176637,0.98830570497075,0.86296083983443,0.840898916680532,0.860800676831425,0.915364274450439,0.98966076335755,0.95511033915147,0.591813074794507,0.669828628958818,0.960011878247983,0.93200856683332,0,0.35087756934201,0.169824305643601,0.814259124100557,0.807059700168859,0.598886944050506,0.58576116228411,0.637381295346728,0.996701571324411,0.988457344138999,0.972923481046753,0.956242985757183,0.976885064308438,0.713471165628434,0.708473024317748
"122021_Coralina_2021_Baya_029_MMEA_S23",0.880279486909844,0.567133303710081,0.988798036349909,0.799655033430517,0.802617327387698,0.801817354993606,0.864775181643456,0.984293921138684,0.931561038994103,0.565121785130997,0.635427907315778,0.918350243256059,0.923776162102077,0.35087756934201,0,0.313426418923318,0.752242904412261,0.741231976222094,0.557955916865257,0.614319782300432,0.593971974846707,0.993856042550623,0.979850478562144,0.961016744400741,0.909478327614138,0.970053917196698,0.649786050517582,0.601858766819855
"122021_Coralina_2021_Baya_031_MMEA_S45",0.9104867220239,0.557410777129677,0.984777837518385,0.834897645850293,0.823977559432469,0.856879155282247,0.905073369421294,0.987495686755588,0.946057876297451,0.563831232019722,0.63722939441958,0.949953501814205,0.9147975335175,0.169824305643601,0.313426418923318,0,0.804970537871797,0.79937002023308,0.545950494437863,0.53343284559836,0.565016646371695,0.995112080528086,0.985230534431893,0.972045080233245,0.951310492783584,0.972007069103033,0.692450407675076,0.683361950839597
"072023_Carolina_2023_Baya_057_SSID_S7",0.679127936860142,0.691038162067834,0.823528407508059,0.57636892736295,0.70339945047219,0.614257512510205,0.721768782830001,0.956849773289672,0.74130464157802,0.634215415212688,0.651075120327381,0.789581516079289,0.82050852338711,0.814259124100557,0.752242904412261,0.804970537871797,0,0.420824711402208,0.678961878021149,0.747875838719088,0.685743340201002,0.981781342858425,0.949344386731718,0.873784931776034,0.816827232878512,0.762555393414389,0.647792794929745,0.536976227583451
"072023_Carolina_2023_Baya_059_SSID_S8",0.650322504405912,0.696438220856209,0.833883028411142,0.583933473803281,0.68128957084478,0.606980955833663,0.693870439781394,0.943159914540509,0.767379608536661,0.620015611693455,0.637693449887494,0.792904234166576,0.802946693080647,0.807059700168859,0.741231976222094,0.79937002023308,0.420824711402208,0,0.684847721191369,0.756693666377663,0.675597303391022,0.978196475679337,0.935633751303835,0.876007178641989,0.819412941205571,0.843367486699645,0.622211560713563,0.514375733910494
"072023_Carolina_2023_Baya_061_SSID_S5",0.849115364677295,0.345833825450203,0.971334607871256,0.718135431562947,0.70264644511117,0.732152665197142,0.841844184333834,0.979465883013057,0.916339039845544,0.300572350850913,0.48920447751435,0.882221828764603,0.845675734923114,0.598886944050506,0.557955916865257,0.545950494437863,0.678961878021149,0.684847721191369,0,0.324406726377602,0.403004521530012,0.99056896140439,0.976582345832001,0.949255002780313,0.924480755763288,0.956977245963118,0.542054002738679,0.5234947759439
"072023_Carolina_2023_Baya_063_SSID_S6",0.894852143418238,0.277351060646498,0.974821091623601,0.768124179842846,0.739196046861894,0.805168630753774,0.884447459743869,0.98687603041932,0.946017872036059,0.380865737997908,0.446840372338911,0.920986770384169,0.868069543287946,0.58576116228411,0.614319782300432,0.53343284559836,0.747875838719088,0.756693666377663,0.324406726377602,0,0.319981508133424,0.9948493050255,0.986128577590179,0.961236612983417,0.950514780858004,0.94791748403613,0.534603042022863,0.629412888473762
"122021_Coralina_2021_Baya_019_SSID1_S46",0.858594170141029,0.395042105957956,0.964123484550927,0.733686352169686,0.720837685600195,0.776672483250733,0.856836332556233,0.980861755124908,0.931936985650397,0.413212556087963,0.429629822084643,0.906419894378846,0.857413842094825,0.637381295346728,0.593971974846707,0.565016646371695,0.685743340201002,0.675597303391022,0.403004521530012,0.319981508133424,0,0.992297796942158,0.979049530352202,0.950263015682885,0.923461163408025,0.920774143088002,0.528259706203201,0.548440396429538
"122021_Coralina_2021_Baya_021_SSID2_S36",0.975947711107601,0.993750416737187,0.995383077386625,0.988404592074274,0.991780936867312,0.980693102873783,0.994217525832474,0.623440212178119,0.970628672215032,0.99146669836722,0.991888547303933,0.991936533389556,0.99131520124123,0.996701571324411,0.993856042550623,0.995112080528086,0.981781342858425,0.978196475679337,0.99056896140439,0.9948493050255,0.992297796942158,0,0.611725062722208,0.955760679282868,0.964830638785851,0.900248807962553,0.982585569892035,0.982471190337284
"122021_Coralina_2021_Baya_027_PSTR4_S34",0.937941203913237,0.982792298557914,0.979928794850192,0.961771642105836,0.971596645808894,0.93993149759541,0.968340650323222,0.469805092975452,0.951082981581337,0.9765435050748,0.974551125725447,0.975871033745509,0.976311787894224,0.988457344138999,0.979850478562144,0.985230534431893,0.949344386731718,0.935633751303835,0.976582345832001,0.986128577590179,0.979049530352202,0.611725062722208,0,0.976696677509357,0.908981922437584,0.949488984553108,0.972967720805471,0.954403042354944
"122021_Coralina_2021_Baya_033_PSTR7_S35",0.898364442070837,0.954862059699387,0.954952779191446,0.916304579019037,0.925547095998434,0.881538861694876,0.945418128105498,0.967425304340876,0.89767860121341,0.946054968943995,0.94091864054938,0.928203110052664,0.955033897736083,0.972923481046753,0.961016744400741,0.972045080233245,0.873784931776034,0.876007178641989,0.949255002780313,0.961236612983417,0.950263015682885,0.955760679282868,0.976696677509357,0,0.896832923826045,0.909912048126697,0.931807325622585,0.917435905218095
"122021_Coralina_2021_Baya_035_PSTR_S32",0.777575660009385,0.938741803759212,0.982816687094664,0.860475248636775,0.950086007739984,0.82155460867216,0.822291218023587,0.889358652539184,0.901918227083138,0.92477424275985,0.917563138466613,0.909909599194743,0.940718506776106,0.956242985757183,0.909478327614138,0.951310492783584,0.816827232878512,0.819412941205571,0.924480755763288,0.950514780858004,0.923461163408025,0.964830638785851,0.908981922437584,0.896832923826045,0,0.937199670244496,0.893742615612353,0.851905426249897
"122021_Coralina_2021_Baya_037_PSTR_S33",0.919513204070976,0.93413543422607,0.859918627207452,0.861266437079976,0.942405690107138,0.91822245219259,0.950618571765161,0.964540966255964,0.857225545532516,0.934979355876854,0.910206754507214,0.940903625437658,0.982623142175903,0.976885064308438,0.970053917196698,0.972007069103033,0.762555393414389,0.843367486699645,0.956977245963118,0.94791748403613,0.920774143088002,0.900248807962553,0.949488984553108,0.909912048126697,0.937199670244496,0,0.882762849234528,0.893015286904884
"122021_Coralina_2021_Baya_013_DLAB_S43",0.844379923683328,0.523493159077583,0.950684242190381,0.705024928708175,0.71461761029396,0.720165136978389,0.821171340669854,0.979398112657829,0.931194537727008,0.492376711466036,0.490454986445836,0.8972953023205,0.88521343843019,0.713471165628434,0.649786050517582,0.692450407675076,0.647792794929745,0.622211560713563,0.542054002738679,0.534603042022863,0.528259706203201,0.982585569892035,0.972967720805471,0.931807325622585,0.893742615612353,0.882762849234528,0,0.540183007237674
"122021_Coralina_2021_Baya_015_DLAB_S44",0.786712660027365,0.588499535204552,0.947696983338905,0.696437278053512,0.718493109406609,0.678762784601106,0.800808341263582,0.962799310782747,0.875790131120767,0.466014145828736,0.585180414498412,0.893569539640747,0.830526234215384,0.708473024317748,0.601858766819855,0.683361950839597,0.536976227583451,0.514375733910494,0.5234947759439,0.629412888473762,0.548440396429538,0.982471190337284,0.954403042354944,0.917435905218095,0.851905426249897,0.893015286904884,0.540183007237674,0
