Gene_Family,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26
1.14.13.8-RXN: (expasy) Flavin-containing monooxygenase [1.14.13.8],4.20987,0,0,0,0,0
1.14.13.84-RXN: (expasy) 4-hydroxyacetophenone monooxygenase [1.14.13.84],0,0,0,0,0,0
1.14.13.92-RXN: (expasy) Phenylacetone monooxygenase [1.14.13.92],0,0,15.8152,0,0,0
1.14.19.1-RXN: (expasy) Stearoyl-CoA 9-desaturase [1.14.19.1],0,0,60.4774,0,0,0
1.14.19.3-RXN: (expasy) Acyl-CoA 6-desaturase [1.14.19.3],0,0,0,0,0,0
1.14.99.15-RXN: (expasy) 4-methoxybenzoate monooxygenase (O-demethylating) [1.14.99.15],0,0,0,0,0,0
1.15.1.2-RXN: (expasy) Superoxide reductase [1.15.1.2],0,0,0,0,0,0
1.17.4.2-RXN: (expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2],0,0,0,0,0,0
1.18.1.2-RXN: (expasy) Ferredoxin--NADP(+) reductase [1.18.1.2],0,0,192.186,0,0,0
1.2.1.13-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating) [1.2.1.13],0,0,14.3522,0,0,0
1.2.1.2-RXN: (expasy) Formate dehydrogenase [1.17.1.9],0.754779,0,0,0,0,0
1.2.1.27-RXN: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27],0,0,36.4733,0,0,0
1.2.1.32-RXN: (expasy) Aminomuconate-semialdehyde dehydrogenase [1.2.1.32],0,0,0,0,0,0
1.2.1.45-RXN: (expasy) 2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase [1.1.1.312],0,0,0,0,0,0
1.2.1.58-RXN: (expasy) Phenylglyoxylate dehydrogenase (acylating) [1.2.1.58],0,0,22.1259,0,0,0
1.2.1.61-RXN: (expasy) 4-hydroxymuconic-semialdehyde dehydrogenase [1.2.1.61],0,0,16.0541,0,0,0
