,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26,122021_Coralina_2021_Baya_013_DLAB_S43,122021_Coralina_2021_Baya_015_DLAB_S44,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36,122021_Coralina_2021_Baya_023_MCAV_S31,122021_Coralina_2021_Baya_025_MMEA_S22,122021_Coralina_2021_Baya_027_PSTR4_S34,122021_Coralina_2021_Baya_029_MMEA_S23,122021_Coralina_2021_Baya_031_MMEA_S45,122021_Coralina_2021_Baya_033_PSTR7_S35,122021_Coralina_2021_Baya_035_PSTR_S32,122021_Coralina_2021_Baya_037_PSTR_S33,Sum
224463,27.37347253884681,221.75804051734005,135.78182179463826,302.37995147170534,115.13080429333235,338.0241598320554,1147.085941905179,138.20108257514684,355.3181982137185,465.3581889354247,0.0,456.3305492560429,166.90977438152672,0.0,0.0,276.3438601921142,214.58251879870159,0.0,177.7960132663179,53.81670519453516,0.0,0.0,47.851032898724426,0.0,0.0,64.8483197800345,74.65168203812665,138.50671295868807,4918.048830842197
574976,27.37347253884681,0.0,105.97605603483963,309.7550722393079,282.59379235636123,256.6950386694556,471.90244445466226,333.98594955660485,290.7148894475879,629.6022556185158,0.0,0.0,145.13893424480585,0.0,0.0,331.6126322305371,212.76402287667872,275.287085103036,198.31093787397,75.832630046845,0.0,150.94132499039466,127.60275439659848,0.0,118.7140889880811,110.24214362605865,190.02246336977694,0.0,4645.067988662964
908622,27.37347253884681,0.0,0.0,0.0,62.798620523635826,86.41219123526227,163.3508461573831,0.0,0.0,177.93107224001534,0.0,0.0,72.56946712240293,0.0,0.0,0.0,30.914430674389212,0.0,78.64054432933293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.9906448212683
1549128,26.518051522007845,0.0,62.923283270686035,0.0,0.0,104.20293648958098,141.57073333639866,0.0,80.7541359576633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.478063577098546,0.0,233.2729568033372,72.91585965519913,0.0,296.78522247020277,0.0,0.0,0.0,1065.4212430821744
414877,26.518051522007845,0.0,0.0,73.7512076760257,68.03183890060549,86.41219123526227,148.83077094339347,0.0,0.0,177.93107224001534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.14924607652065,73.38641617436612,0.0,0.0,38.736550441824534,0.0,0.0,0.0,0.0,0.0,898.7473452100214
3050006,25.66263050516888,0.0,0.0,0.0,0.0,45.74763065396238,59.2903071237909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0648267564747,0.0,0.0,0.0,0.0,0.0,155.76539503939688
83778,25.66263050516888,0.0,66.23503502177476,169.6277776548591,214.56195345575574,231.27968830614316,330.3317111182636,0.0,129.20661753226128,273.7401111384851,0.0,0.0,0.0,0.0,0.0,132.64505289221484,36.3699184404579,0.0,147.02362635483982,46.478063577098546,0.0,0.0,68.35861842674917,0.0,0.0,64.8483197800345,0.0,0.0,1936.3691242041064
11632,25.66263050516888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.18259696906054,150.93516152790028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.7803890021297
1524216,24.80720948832992,221.75804051734005,129.1583182924608,95.8765699788334,78.49827565454478,137.24289196188715,240.791247298661,0.0,53.8360906384422,0.0,0.0,304.2203661706953,116.11114739584468,0.0,0.0,0.0,0.0,0.0,51.287311519130164,68.49398842940839,118.47830769893584,0.0,592.441359698493,0.0,0.0,0.0,0.0,0.0,2233.0011247430066
3029087,24.80720948832992,143.0697035595742,119.22306303919459,162.25265688725653,162.22976968605923,63.53837590828108,30.250156695811686,138.20108257514684,96.90496314919595,0.0,0.0,138.28198462304331,0.0,0.0,344.15509923138694,0.0,334.60324965221264,0.0,102.57462303826033,139.43419073129564,0.0,0.0,116.20965132547362,0.0,0.0,90.7876476920483,142.5168475273327,175.4418364143382,2524.4821112242416
